,Visibility (km),Rel Hum (%),Hour,Stn Press (kPa),Month,Temp (°C),Dew Point Temp (°C),Wind Dir (10s deg),Wind Spd (km/h),Temp_Diff,Humidity_Index
3727,1.0,0.7777777777777779,7,0.6322463768115938,6,0.6787330316742081,0.7832764505119455,0.6388888888888888,0.09615384615384616,-0.10454341883773743,0.5279034690799397
3728,1.0,0.5555555555555556,8,0.6250000000000036,6,0.7209653092006032,0.7662116040955632,0.7222222222222222,0.13461538461538464,-0.045246294894960015,0.400536282889224
3729,0.6680497925311204,0.4567901234567901,9,0.6123188405797109,6,0.7435897435897435,0.7559726962457338,0.8333333333333333,0.15384615384615385,-0.01238295265599032,0.33966445077556184
3730,0.5352697095435685,0.3333333333333333,10,0.6032608695652186,6,0.7782805429864252,0.7474402730375427,0.027777777777777776,0.17307692307692307,0.03084026994888256,0.25942684766214175
3731,0.5352697095435685,0.34567901234567894,11,0.5942028985507264,6,0.7812971342383106,0.7525597269624574,0.19444444444444442,0.13461538461538464,0.028737407275853166,0.27007802171200856
3732,0.5352697095435685,0.3703703703703704,12,0.5851449275362306,6,0.7918552036199094,0.7781569965870307,0.25,0.13461538461538464,0.013698207032878607,0.2932797050444109
3733,0.5352697095435685,0.35802469135802467,13,0.5760869565217384,6,0.7978883861236801,0.7764505119453926,0.8055555555555555,0.19230769230769232,0.021437874178287464,0.285663743180083
3734,0.40248962655601656,0.38271604938271603,14,0.5670289855072461,6,0.7873303167420813,0.7764505119453926,0.7777777777777777,0.19230769230769232,0.010879804796688708,0.3013239483827718
3735,0.40248962655601656,0.1728395061728395,15,0.5579710144927539,6,0.8084464555052788,0.6928327645051195,0.7777777777777777,0.17307692307692307,0.11561369100015928,0.13973148613671485
3736,0.33609958506224064,0.24691358024691357,16,0.5507246376811601,6,0.8144796380090497,0.7406143344709898,0.8055555555555555,0.15384615384615385,0.07386530353805987,0.2011060834590246
3737,0.26556016597510373,0.2345679012345679,17,0.5416666666666679,6,0.8144796380090497,0.7354948805460751,0.7222222222222222,0.15384615384615385,0.07898475746297451,0.19105077928607336
3738,0.26556016597510373,0.271604938271605,18,0.5344202898550741,6,0.8024132730015081,0.7406143344709898,0.7777777777777777,0.15384615384615385,0.06179893853051832,0.2179394074818911
3739,0.33609958506224064,0.39506172839506165,19,0.5326086956521756,6,0.7722473604826545,0.764505119453925,0.7222222222222222,0.09615384615384616,0.007742241028729557,0.30508537698080174
3740,0.26556016597510373,0.44444444444444436,20,0.5271739130434803,6,0.7631975867269983,0.7730375426621161,0.6944444444444444,0.09615384615384616,-0.009839955935117772,0.3391989274342214
